case_id,experiment,graph_type,n,k,density,seed,num_vars,num_clauses,result,wall_time_sec,cpu_time_reported_sec,conflicts,decisions,propagations,returncode,cnf_file
A_density_random_n60_k3_d0p035_s1,A_density,random,60,3,0.035,1,180,426,SAT,0.004447,0.001098,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s1.cnf
A_density_random_n60_k3_d0p035_s10,A_density,random,60,3,0.035,10,180,426,SAT,0.008980,0.001148,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s10.cnf
A_density_random_n60_k3_d0p035_s11,A_density,random,60,3,0.035,11,180,426,SAT,0.009904,0.00121,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s11.cnf
A_density_random_n60_k3_d0p035_s12,A_density,random,60,3,0.035,12,180,426,SAT,0.002994,0.001088,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s12.cnf
A_density_random_n60_k3_d0p035_s13,A_density,random,60,3,0.035,13,180,426,SAT,0.003147,0.001128,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s13.cnf
A_density_random_n60_k3_d0p035_s14,A_density,random,60,3,0.035,14,180,426,SAT,0.002702,0.000983,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s14.cnf
A_density_random_n60_k3_d0p035_s15,A_density,random,60,3,0.035,15,180,426,SAT,0.002664,0.000977,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s15.cnf
A_density_random_n60_k3_d0p035_s16,A_density,random,60,3,0.035,16,180,426,SAT,0.002718,0.001005,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s16.cnf
A_density_random_n60_k3_d0p035_s17,A_density,random,60,3,0.035,17,180,426,SAT,0.002829,0.00103,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s17.cnf
A_density_random_n60_k3_d0p035_s18,A_density,random,60,3,0.035,18,180,426,SAT,0.003210,0.001097,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s18.cnf
A_density_random_n60_k3_d0p035_s19,A_density,random,60,3,0.035,19,180,426,SAT,0.003449,0.001167,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s19.cnf
A_density_random_n60_k3_d0p035_s2,A_density,random,60,3,0.035,2,180,426,SAT,0.002929,0.001036,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s2.cnf
A_density_random_n60_k3_d0p035_s20,A_density,random,60,3,0.035,20,180,426,SAT,0.002770,0.001015,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s20.cnf
A_density_random_n60_k3_d0p035_s21,A_density,random,60,3,0.035,21,180,426,SAT,0.002983,0.001026,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s21.cnf
A_density_random_n60_k3_d0p035_s22,A_density,random,60,3,0.035,22,180,426,SAT,0.003373,0.001121,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s22.cnf
A_density_random_n60_k3_d0p035_s23,A_density,random,60,3,0.035,23,180,426,SAT,0.002995,0.001058,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s23.cnf
A_density_random_n60_k3_d0p035_s24,A_density,random,60,3,0.035,24,180,426,SAT,0.002886,0.001023,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s24.cnf
A_density_random_n60_k3_d0p035_s25,A_density,random,60,3,0.035,25,180,426,SAT,0.003037,0.001012,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s25.cnf
A_density_random_n60_k3_d0p035_s26,A_density,random,60,3,0.035,26,180,426,SAT,0.002882,0.001065,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s26.cnf
A_density_random_n60_k3_d0p035_s27,A_density,random,60,3,0.035,27,180,426,SAT,0.003392,0.00111,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s27.cnf
A_density_random_n60_k3_d0p035_s28,A_density,random,60,3,0.035,28,180,426,SAT,0.003230,0.001009,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s28.cnf
